avoid,избегать
reached,достиг
higher,выше
familiar,привычный
telephone,телефон
burning,сжигание
filled,заполненный
kelly,kelly.
alice,алиса
airport,аэропорт
jobs,рабочие места
grown,выросший
walter,Уолтер
rachel,Рэйчел
giant,гигант
insurance,страхование
woods,древесина
n,N.
scare,напугать
pleased,довольный
period,период
political,политический
player,игрок
stops,останавливается
secrets,секреты
laura,Лаура
repeat,повторить
photos,фото
finds,находки
statement,утверждение
suck,отстой
younger,моложе
china,Китай
humans,люди
delicious,вкусные
particular,специфический
proper,правильный
rome,Рим
belongs,принадлежит
attacked,атакован
bath,ванна
hired,наемный
site,сайт
knowledge,знания
b,преступность
led,вел
guests,гостей
celebrate,праздновать
map,карта
horn,Рог
eventually,в итоге
pity,жалость
powers,власти
ashamed,стыдящийся
assume,предполагать
